Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,Horizon Forbidden West,2022-02-18,112874,14,17,co2gvu
3,Red Dead Redemption 2,2018-10-26,25076,13,352,co1q1f
4,Assassin's Creed Odyssey,2018-10-05,103054,12,415,co2nul
5,God of War,2018-04-20,19560,11,345,co1tmu
6,Horizon Zero Dawn,2017-02-28,11156,10,348,co2una
7,Ghost of Tsushima,2020-07-17,75235,9,353,co2crj
8,Marvel's Spider-Man Remastered,2020-11-12,138949,8,751,co52vm
9,Fallout 4,2015-11-09,9630,7,1241,co1yc6
10,The Elder Scrolls V: Skyrim,2011-11-10,472,6,392,co1tnw
11,Assassin's Creed IV Black Flag,2013-10-29,1970,5,1401,co4qfn
12,Grand Theft Auto V,2013-09-17,1020,4,323,co2lbd
13,Rise of the Tomb Raider,2015-11-10,7323,3,416,co1rqa
14,Uncharted 4: A Thief's End,2016-05-10,7331,2,355,co1r7h
15,Cyberpunk 2077,2020-12-09,1877,1,736,co4hk8
