Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil Code: Veronica,2000-02-03,968,15,1085,co2vzn
2,Final Fantasy IX,2000-07-07,421,14,302,co2unc
3,Deus Ex,2000-06-26,41,13,1086,co1r7n
4,Perfect Dark,2000-05-22,1463,12,169,co25jr
5,Diablo II,2000-06-29,126,11,1087,co3gfq
6,Tony Hawk's Pro Skater 2,2000-09-20,913,10,249,co1y77
7,The Sims,2000-02-04,223,9,1088,co3hcl
8,Baldur's Gate II: Shadows of Amn,2000-09-21,6,8,1089,co1y4w
9,Paper Mario,2000-08-11,3340,7,171,co1qda
10,The Legend of Zelda: Majora's Mask,2000-04-27,1030,6,167,co3pah
