Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario Galaxy,2007-11-01,1077,15,429,co21ro
2,BioShock,2007-08-21,20,14,391,co2mli
3,Call of Duty 4: Modern Warfare,2007-11-05,134651,13,912,co2adb
4,Halo 3,2007-09-25,987,12,803,co1xhc
5,God of War II,2007-03-13,551,11,442,co3dik
6,Super Paper Mario,2007-04-09,2191,10,552,co21rp
7,Mass Effect,2007-11-20,73,9,1140,co1x7o
8,The Orange Box,2007-10-10,339,8,804,co2yez
9,Portal,2007-10-10,71,7,508,co1x7d
10,Uncharted: Drake's Fortune,2007-11-16,431,6,496,co1tp7
