Position,Title,TotalScore,ListsAppeared
1,The Last of Us (2013),41,3
2,Grand Theft Auto V (2013),39,3
3,BioShock Infinite (2013),38,3
4,Super Mario 3D World (2013),24,2
5,Fire Emblem: Awakening (2012),23,3
6,The Legend of Zelda: A Link Between Worlds (2013),19,2
7,Assassin's Creed IV Black Flag (2013),18,2
8,Tomb Raider (2013),17,2
9,Gone Home (2013),16,2
10,The Stanley Parable (2013),14,2
11,"Papers, Please (2013)",14,1
12,Battlefield 4 (2013),10,1
13,Metro: Last Light (2013),10,2
14,Antichamber (2013),9,1
15,DmC: Devil May Cry (2013),8,1
16,Final Fantasy XIV: A Realm Reborn - Collector's Edition (2013),7,1
17,Metal Gear Rising: Revengeance (2013),7,1
18,Ni no Kuni: Wrath of the White Witch (2011),6,1
19,Saints Row IV (2013),6,2
20,Pokémon X (2013),6,2
21,Far Cry 3: Blood Dragon (2013),6,1
22,Rayman Legends (2013),5,1
23,Call of Juarez: Gunslinger (2013),5,1
24,Pikmin 3 (2013),4,1
25,Guacamelee! (2013),3,1
26,Dead Rising 3 (2013),3,1
27,Brothers: A Tale of Two Sons (2013),1,1
28,Rogue Legacy (2013),1,1
