Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,Until Dawn,2015-08-25,7609,14,1244,co2s5q
3,Batman: Arkham Knight,2015-06-23,5503,13,1246,co1nh1
4,Bloodborne,2015-03-24,7334,12,346,co1rba
5,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,11,331,co1v85
6,The Talos Principle,2014-12-11,7386,10,1251,co1rb5
7,Fallout 4,2015-11-09,9630,9,1241,co1yc6
8,Her Story,2015-06-24,11346,8,1249,co2gzl
9,Splatoon,2015-05-28,7335,7,579,co2hwo
10,Sunless Sea,2015-02-15,8925,6,1252,co2h1v
11,Off-Peak,2015-02-15,25849,5,1253,co3qjp
12,Super Mario Maker,2015-09-10,7339,4,586,co21vl
13,Tearaway: Unfolded,2015-09-09,7606,3,1254,co1nfd
14,Everybody's Gone to the Rapture,2015-08-11,7405,2,1255,co3way
15,Tales from the Borderlands,2014-11-25,6707,1,1242,co20tr
