Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Baldur's Gate 3,2020-10-06,119171,15,989,co670h
2,Alan Wake II,2023-10-17,185246,14,998,co6jar
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Marvel's Spider-Man 2,2023-12-31,127044,12,991,co5vrx
5,Cocoon,2023-09-29,204627,11,2004,co4v2z
6,Resident Evil 4,2023-03-24,132181,10,212,co4tg4
7,Super Mario Bros. Wonder,2023-10-20,254339,9,1438,co6nnl
8,Star Wars Jedi: Survivor,2023-04-28,201156,8,721,co5uzk
9,Diablo IV,2023-06-02,125165,7,986,co69sm
10,Dredge,2023-03-30,164867,6,706,co69zw
11,Dead Space,2023-01-27,159119,5,88,co5esn
12,The Cosmic Wheel Sisterhood,2023-08-16,247578,4,2047,co6llx
13,Final Fantasy XVI,2023-06-22,31551,3,987,co5w3k
14,Hi-Fi Rush,2023-01-25,233585,2,722,co6219
15,Starfield,2023-09-06,96437,1,985,co39vv
