Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,15,23,co3p2d
2,Super Mario World,1990-11-21,1070,14,371,co65za
3,Portal 2,2011-04-18,72,13,325,co1rs4
4,The Legend of Zelda: A Link to the Past,1991-11-21,1026,12,372,co3vzn
5,Super Metroid,1994-03-19,1103,11,373,co5osy
6,Mass Effect 2,2010-01-26,74,10,334,co20ac
7,Super Mario 64,1996-06-23,1074,9,30,co21mm
8,Red Dead Redemption 2,2018-10-26,25076,8,352,co1q1f
9,Half-Life 2,2004-11-16,233,7,160,co1nmw
10,Disco Elysium,2019-10-15,26472,6,185,co1sfj
11,Super Mario Bros. 3,1993-07-14,222099,5,374,co5k7l
12,Grand Theft Auto V,2013-09-17,1020,4,323,co2lbd
13,Hades,2019-12-10,113112,3,95,co39vc
14,Castlevania: Symphony of the Night,1997-03-20,1128,2,238,co53m8
15,Halo 2,2004-11-09,986,1,375,co1x77
