SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/articles/the-best-100-video-games-of-all-time,94,ign - 2024-09-30_22-11-41.csv
Parade,https://parade.com/entertainment/best-video-games-of-all-time,167,parade - 2023-04-16_12-05-44.csv
Moviemaker,https://moviemaker.minitool.com/moviemaker/best-video-games.html?all-time=1,168,moviemaker - 2023-04-16_12-05-46.csv
GamesRadar+,https://www.gamesradar.com/best-games-of-all-time/,129,gamesradar+ - 2023-04-18_03-16-11.csv
FTW USA Today,https://ftw.usatoday.com/lists/best-video-games,182,ftw usa today - 2023-04-18_03-21-48.csv
Popularmechanics,https://www.popularmechanics.com/culture/gaming/g134/the-100-greatest-video-games-of-all-time/,183,popularmechanics - 2023-04-18_03-24-53.csv
Polygon,https://www.polygon.com/features/2017/12/1/16707720/the-500-best-games-of-all-time-100-1,133,polygon - 2023-04-18_03-28-14.csv
Videogamecanon,https://www.videogamecanon.com/top-1000/,184,videogamecanon - 2023-04-18_03-32-32.csv
Svg,https://www.svg.com/852269/98-best-video-games-of-all-time-ranked/,174,svg - 2023-04-18_03-44-03.csv
Gaming,https://gaming.gentside.com/top-jeux/les-10-meilleurs-jeux-video-de-tous-les-temps_art29227.html,188,gaming - 2023-04-19_01-09-21.csv
Esquire,https://www.esquire.com/lifestyle/g26572573/best-video-games-ranked/,134,esquire - 2023-04-19_01-29-53.csv
Gamingbolt,https://gamingbolt.com/top-30-games-of-all-time-2023-edition,189,gamingbolt - 2023-04-19_01-57-15.csv
Videogames,https://videogames.si.com/guides/best-games,190,videogames - 2023-04-19_02-00-35.csv
Hobbyconsolas,https://www.hobbyconsolas.com/noticias/30-mejores-juegos-historia-lectores-hobby-consolas-955649,191,hobbyconsolas - 2023-04-21_17-52-06.csv
Youtube,https://www.youtube.com/watch?v=CzMaLB9j_iI&ab_channel=WatchMojo.com,103,youtube - 2023-05-04_02-04-54.csv
Digitaltrends,https://www.digitaltrends.com/gaming/50-best-games-of-all-time/,152,digitaltrends - 2023-05-24_01-34-01.csv
Gq-magazine,https://www.gq-magazine.co.uk/article/best-video-games-all-time,207,gq-magazine - 2023-05-24_17-03-14.csv
SensCritique,https://www.senscritique.com/liste/les_300_meilleurs_jeux_video_de_tous_les_temps/167334,143,senscritique - 2023-05-31_12-04-11.csv
Opencritic,https://opencritic.com/browse/all,128,opencritic - 2023-06-05_02-50-13.csv
Metacritic,https://www.metacritic.com/browse/games/score/metascore/all/all/filtered,141,metacritic - 2023-06-05_02-53-32.csv
Giantfreakinrobot,https://www.giantfreakinrobot.com/ent/best-video-games-of-all-time.html,295,giantfreakinrobot - 2023-08-31_12-06-03.csv
Pwnrank,https://www.pwnrank.com/top-500,376,pwnrank - 2024-01-24_23-36-50.csv
Empireonline,https://www.empireonline.com/gaming/features/100-best-video-games/,246,empireonline - 2024-04-19_01-45-56.csv
Slantmagazine,https://www.slantmagazine.com/games/the-100-best-video-games-of-all-time/,153,slantmagazine - 2024-04-19_01-49-33.csv
FTW USA Today,https://ftw.usatoday.com/lists/best-video-games-all-time-list-zelda-mario,182,ftw usa today - 2024-04-19_01-55-20.csv
Gadgetmates,https://gadgetmates.com/the-top-10-video-games-of-all-time,391,gadgetmates - 2024-04-19_02-01-26.csv
