Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Sonic Adventure,1998-12-23,7860,15,1731,co5jac
2,Skies of Arcadia,2000-10-05,19007,14,887,co2ojm
3,Legacy of Kain: Soul Reaver,1999-08-16,4122,13,343,co1yal
4,Garou: Mark of the Wolves,1999-11-26,10605,12,1732,co2eya
5,Ikaruga,2001-12-20,3953,11,642,co1qjb
6,Quake III Arena,1999-12-02,355,10,1081,co1ybj
7,Sonic Adventure 2,2001-06-23,7858,9,891,co1te4
8,Jet Grind Radio,2000-06-29,1569,8,889,co3rjd
9,Rez,2001-11-22,11244,7,890,co2xti
10,Marvel vs. Capcom 2: New Age of Heroes,2000-02-24,8247,6,839,co4hs7
11,Shenmue,1999-12-29,1217,5,1083,co3wmr
12,Power Stone 2,2000-04-27,13106,4,888,co1w5c
13,Blue Stinger,1999-03-25,6715,3,1733,co4cj9
14,Phantasy Star Online,2000-12-21,21968,2,892,co6f12
15,SoulCalibur,1998-07-30,1564,1,428,co1x6g
