Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: The Wind Waker,2002-12-13,1033,15,532,co3ohz
2,The Legend of Zelda: Twilight Princess,2006-11-19,1036,14,535,co3mtv
3,Star Wars: Bounty Hunter,2002-11-19,4180,13,1727,co56lf
4,Mario Kart: Double Dash!!,2003-11-07,2344,12,1355,co21yz
5,Pikmin 2,2004-04-29,2240,11,537,co5y6q
6,Star Fox Adventures,2002-09-22,2686,10,1728,co1pek
7,Luigi's Mansion,2001-09-14,2485,9,1428,co1wr1
8,Super Mario Sunshine,2002-07-19,1075,8,1094,co21rh
9,Mario Party 4,2002-10-21,2330,7,1097,co2jxh
10,Prince of Persia: The Sands of Time,2003-10-28,142650,6,1107,co3ia6
11,Viewtiful Joe,2003-06-26,4229,5,1358,co53ji
12,Metroid Prime,2002-11-17,1105,4,427,co3w4w
13,Super Smash Bros. Melee,2001-11-21,1627,3,533,co21yv
14,Super Monkey Ball,2001-09-14,2927,2,1729,co5tes
15,Sonic Adventure 2: Battle,2001-12-20,7862,1,1730,co5p3m
