Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Ocarina of Time,1998-11-21,1029,15,27,co3nnx
2,Super Mario 64,1996-06-23,1074,14,30,co21mm
3,The Legend of Zelda: Majora's Mask,2000-04-27,1030,13,167,co3pah
4,Banjo-Kazooie,1998-06-29,2148,12,168,co1zsj
5,Perfect Dark,2000-08-01,1464,11,218,co4ui8
6,Star Fox 64,1997-04-27,2591,10,170,co2e4k
7,Paper Mario,2000-08-11,3340,9,171,co1qda
8,Super Smash Bros.,1999-01-21,1626,8,226,co2tso
9,Wave Race 64,1996-09-27,3629,7,172,co2602
10,Star Wars: Rogue Squadron,1998-11-17,163,6,173,co2481
11,Pokémon Puzzle League,2000-09-25,3574,5,174,co1ywa
12,Mario Golf,1999-06-11,3401,4,175,co2uk5
13,Ogre Battle 64: Person of Lordly Caliber,1999-07-14,3568,3,176,co54xx
14,Mario Party 3,2000-12-07,2329,2,177,co21yu
15,007 GoldenEye,1995-12-31,217634,1,227,co59yk
