Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Super Mario Odyssey,2017-10-27,26758,14,90,co1mxf
3,Mario Kart 8 Deluxe,2017-04-28,26764,13,96,co213p
4,Hades,2019-12-10,113112,12,95,co39vc
5,Into the Breach,2018-02-27,27117,11,622,co2gjp
6,Stardew Valley,2016-02-26,17000,10,386,xrpmydnu9rpxvxfjkiu7
7,Metroid Prime Remastered,2023-02-08,236663,9,107,co658o
8,Animal Crossing: New Horizons,2020-03-19,109462,8,92,co3wls
9,Dragon Quest XI: Echoes of an Elusive Age,2017-07-29,11667,7,414,co1x9d
10,Super Smash Bros. Ultimate,2018-12-07,90101,6,91,co2255
11,Bayonetta 3,2022-10-28,76888,5,274,co4z2i
12,Super Mario 3D World + Bowser's Fury,2021-02-12,138227,4,1293,co2uo9
13,Xenoblade Chronicles 3,2022-07-29,191411,3,89,co4ocq
14,Fire Emblem: Three Houses,2019-07-25,26845,2,97,co1n8t
15,Monster Hunter Rise,2021-03-26,138950,1,591,co3uzk
