Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Super Mario Odyssey,2017-10-27,26758,14,90,co1mxf
3,Super Smash Bros. Ultimate,2018-12-07,90101,13,91,co2255
4,Hades,2019-12-10,113112,12,95,co39vc
5,Fire Emblem: Three Houses,2019-07-25,26845,11,97,co1n8t
6,Mario Kart 8 Deluxe,2017-04-28,26764,10,96,co213p
7,Metroid Dread,2021-10-07,15698,9,93,co39zx
8,Xenoblade Chronicles 3,2022-07-29,191411,8,89,co4ocq
9,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,7,23,co3p2d
10,Metroid Prime Remastered,2023-02-08,236663,6,107,co658o
11,The Legend of Zelda: Link's Awakening,2019-09-20,115284,5,103,co1qve
12,Hollow Knight,2017-02-24,14593,4,145,co1rgi
13,Octopath Traveler II,2023-02-24,217554,3,701,co684z
14,Monster Hunter Rise,2021-03-26,138950,2,591,co3uzk
15,Animal Crossing: New Horizons,2020-03-19,109462,1,92,co3wls
