Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Castlevania: Symphony of the Night,1997-03-20,1128,15,238,co53m8
2,Silent Hill,1999-02-23,480,14,256,co2vye
3,Metal Gear Solid,1998-09-03,375,13,237,co55sj
4,Resident Evil 2,1998-01-21,880,12,248,co2vz0
5,Resident Evil 3: Nemesis,1999-09-22,966,11,521,co2vvb
6,Final Fantasy VII,1997-01-31,427,10,247,co2kx2
7,Tony Hawk's Pro Skater 2,2000-09-20,913,9,249,co1y77
8,Gran Turismo 2,1999-12-11,1597,8,244,co20af
9,Tekken 3,1997-03-22,1244,7,242,co3tsh
10,Final Fantasy IX,2000-07-07,421,6,302,co2unc
11,Twisted Metal III,1998-10-31,4697,5,522,co1ta8
12,Legacy of Kain: Soul Reaver,1999-08-16,4122,4,343,co1yal
13,Crash Bandicoot: Warped,1998-10-31,1187,3,243,co55ae
14,Driver,1999-06-25,675,2,300,co1yab
15,Spider-Man,2000-08-30,3603,1,523,co2xxq
