Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto: San Andreas,2004-10-26,732,15,304,co2lb9
2,Resident Evil 4,2005-01-11,974,14,426,co2wk8
3,Final Fantasy X,2001-07-19,418,13,312,co1tr1
4,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,12,309,co5e1c
5,Shadow of the Colossus,2005-10-18,2207,11,306,co1ozz
6,God of War II,2007-03-13,551,10,442,co3dik
7,TimeSplitters 2,2002-10-09,2143,9,460,co5p8t
8,Burnout 3: Takedown,2004-09-07,5761,8,448,co1y53
9,SSX Tricky,2001-11-05,4176,7,457,co2sup
10,Devil May Cry,2001-08-23,134,6,453,co5tki
11,Grand Theft Auto: Vice City,2002-10-27,733,5,308,co2lbb
12,Silent Hill 2,2001-09-24,481,4,311,co2vyg
13,Ratchet & Clank: Up Your Arsenal,2004-11-02,1773,3,444,co1oyn
14,Kingdom Hearts,2002-03-28,1219,2,441,co30zf
15,Tony Hawk's Underground,2003-10-27,2698,1,462,co2g2b
