Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Ni no Kuni: Wrath of the White Witch,2011-11-17,1864,14,491,co1rbw
3,The Walking Dead: Season One,2012-04-24,1871,13,437,co2j1g
4,Journey,2012-03-13,1352,12,332,co1q8q
5,Red Dead Redemption,2010-05-18,434,11,322,co2lcv
6,Uncharted 2: Among Thieves,2009-10-13,565,10,321,co1tnb
7,Infamous,2009-05-26,523,9,492,co525t
8,BioShock,2007-08-21,20,8,391,co2mli
9,Grand Theft Auto IV,2008-04-29,731,7,337,co2lbv
10,Resistance,1970-01-01,172166,6,493,co5mde
11,Prince of Persia,2008-12-02,2438,5,494,co2bva
12,Mortal Kombat,2011-04-19,119,4,495,co20mc
13,Batman: Arkham City,2011-10-18,501,3,327,co1voh
14,Dead Space 2,2011-01-25,38,2,440,co20xq
15,Fallout: New Vegas,2010-10-19,16,1,484,co1u60
