Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Uncharted 2: Among Thieves,2009-10-13,565,14,321,co1tnb
3,Red Dead Redemption,2010-05-18,434,13,322,co2lcv
4,God of War III,2010-03-16,499,12,486,co3koi
5,Mass Effect 2,2010-01-26,74,11,334,co20ac
6,Portal 2,2011-04-18,72,10,325,co1rs4
7,LittleBigPlanet,2008-10-27,1058,9,1147,co4p0f
8,Dark Souls,2011-09-22,2155,8,26,co1x78
9,Batman: Arkham City,2011-10-18,501,7,327,co1voh
10,Grand Theft Auto V,2013-09-17,1020,6,323,co2lbd
