Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Dark Souls,2011-09-22,2155,14,26,co1x78
3,Persona 5,2016-09-15,9927,13,330,co1r76
4,Portal 2,2011-04-18,72,12,325,co1rs4
5,Mass Effect 2,2010-01-26,74,11,334,co20ac
6,Uncharted 2: Among Thieves,2009-10-13,565,10,321,co1tnb
7,BioShock,2007-08-21,20,9,391,co2mli
8,Red Dead Redemption,2010-05-18,434,8,322,co2lcv
9,Grand Theft Auto V,2013-09-17,1020,7,323,co2lbd
10,Super Street Fighter IV: Arcade Edition,2010-12-16,20586,6,436,co1yei
11,The Walking Dead: Season One,2012-04-24,1871,5,437,co2j1g
12,Wolfenstein: The New Order,2014-05-20,2031,4,439,co21c0
13,XCOM: Enemy Unknown,2012-10-09,1318,3,438,co29i2
14,Journey,2012-03-13,1352,2,332,co1q8q
15,Dead Space 2,2011-01-25,38,1,440,co20xq
