Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Grand Theft Auto IV,2008-04-29,731,15,337,co2lbv
2,Grand Theft Auto V,2013-09-17,1020,14,323,co2lbd
3,Uncharted 2: Among Thieves,2009-10-13,565,13,321,co1tnb
4,Batman: Arkham City,2011-10-18,501,12,327,co1voh
5,LittleBigPlanet,2009-11-17,21911,11,498,co49cl
6,Red Dead Redemption,2010-05-18,434,10,322,co2lcv
7,The Last of Us,2013-06-14,1009,9,320,co1r7f
8,Portal 2,2011-04-18,72,8,325,co1rs4
9,BioShock Infinite,2013-02-26,538,7,333,co2n12
10,Call of Duty: Modern Warfare 2,2009-11-10,559,6,292,co3cwt
11,Call of Duty 4: Modern Warfare,2007-11-05,623,5,499,co1wko
12,BioShock,2007-08-21,20,4,391,co2mli
13,Mass Effect 2,2010-01-26,74,3,334,co20ac
14,Street Fighter IV,2008-07-18,884,2,830,co1w4t
15,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,380,1,335,co5eju
