Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Elden Ring,2022-02-25,119133,15,10,co4jni
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,Astro Bot,2024-09-06,303811,13,2352,co8hl0
4,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,12,2225,co7sly
5,The Witcher 3: Wild Hunt - Complete Edition,2016-08-29,119402,11,843,co5uct
6,Metaphor: ReFantazio,2024-12-31,26602,10,2202,co7hkn
7,God of War Ragnarök,2022-11-09,112875,9,143,co5s5v
8,Hades,2019-12-10,113112,8,95,co39vc
9,Tetris Effect: Connected,2020-05-14,135999,7,70,co2krv
10,Resident Evil 4,2023-03-24,132181,6,212,co4tg4
11,Final Fantasy VII Rebirth,2023-12-31,133236,5,1001,co4vp0
12,Demon's Souls,2020-11-12,134606,4,356,co2kj9
13,Street Fighter 6,2023-06-02,191692,3,844,co5vst
14,Clair Obscur: Expedition 33,2025-04-24,305152,2,2985,co9gam
15,Slay the Princess: The Pristine Cut,2024-10-24,305071,1,2986,co8boa
