Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,God of War Ragnarök,2022-11-09,112875,15,143,co5s5v
2,Elden Ring,2022-02-25,119133,14,10,co4jni
3,Baldur's Gate 3,2020-10-06,119171,13,989,co670h
4,Astro Bot,2024-09-06,303811,12,2352,co8hl0
5,Kingdom Come: Deliverance II,2025-02-04,298526,11,2915,co8qmv
6,Final Fantasy VII Rebirth,2023-12-31,133236,10,1001,co4vp0
7,Marvel's Spider-Man 2,2023-12-31,127044,9,991,co5vrx
8,Returnal,2021-04-30,134584,8,164,co3wc1
9,Gran Turismo 7,2022-03-04,101006,7,359,co2g84
10,Resident Evil 4,2023-03-24,132181,6,212,co4tg4
11,Alan Wake II,2023-10-17,185246,5,998,co6jar
12,Final Fantasy XVI,2023-06-22,31551,4,987,co5w3k
13,Tekken 8,1970-01-01,217590,3,1520,co6ab7
14,Cyberpunk 2077,2020-12-09,1877,2,736,co4hk8
15,Silent Hill 2,1970-01-01,222341,1,1441,co5l7s
