Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Super Mario World,1990-11-21,1070,15,371,co65za
2,The Legend of Zelda: A Link to the Past,1991-11-21,1026,14,372,co3vzn
3,Chrono Trigger,1995-03-11,1802,13,519,co3plw
4,Super Metroid,1994-03-19,1103,12,373,co5osy
5,Final Fantasy III,1990-04-27,77234,11,682,co2127
6,Super Mario World 2: Yoshi's Island,1995-08-05,1073,10,568,co2kn9
7,Super Mario RPG: Legend of the Seven Stars,1996-03-09,5418,9,570,co5r6p
8,Super Mario All-Stars,1993-07-14,5199,8,683,co62ap
9,EarthBound,1994-08-27,2899,7,573,co3shr
10,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-21,1092,6,684,co217m
11,Teenage Mutant Ninja Turtles IV: Turtles in Time,1992-07-24,14697,5,685,co69t7
12,Mega Man X,1993-12-17,1741,4,572,co3tu2
13,Donkey Kong Country,1994-11-18,1090,3,686,co29n6
14,Street Fighter II Turbo: Hyper Fighting,1992-12-11,20878,2,687,co2srf
15,Super Castlevania IV,1991-10-31,1124,1,688,co20dc
