Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Assassin's Creed Valhalla,2020-11-10,133004,15,604,co2ed3
2,Elden Ring,2022-02-25,119133,14,10,co4jni
3,Forza Horizon 5,2021-11-09,141503,13,360,co3ofx
4,Gears 5,2019-09-09,103292,12,365,co2oz5
5,Microsoft Flight Simulator,2020-08-17,119295,11,208,co2dqk
6,High on Life,2022-12-13,204618,10,711,co67qo
7,Hitman 3,2021-01-20,134595,9,135,co29lt
8,Halo Infinite,2021-11-15,103281,8,361,co2dto
9,Psychonauts 2,2021-08-24,14741,7,362,co1sod
10,Sea of Thieves,2018-03-20,11137,6,366,co2558
11,Star Wars Jedi: Survivor,2023-04-28,201156,5,721,co5uzk
12,Tetris Effect: Connected,2020-05-14,135999,4,70,co2krv
13,Hi-Fi Rush,2023-01-25,233585,3,722,co6219
