Position,Title,TotalScore,ListsAppeared
1,BattleBit Remastered (2023),15,1
2,Misericorde: Volume One (2023),15,1
3,Roots of Pacha (2023),14,1
4,He Fucked the Girl Out of Me (2022),14,1
5,Dave the Diver (2022),13,1
6,Mediterranea Inferno (2023),13,1
7,Tchia (2023),12,1
8,"El Paso, Elsewhere (2023)",12,1
9,Meet Your Maker (2023),11,1
10,Dredge (2023),11,1
11,A Space for the Unbound (2023),10,1
12,Life After Magic (2022),9,1
13,The Banished Vault (2023),8,1
14,Chants of Sennaar (2023),7,1
15,Venba (2023),6,1
16,Tron: Identity (2023),5,1
17,The Cosmic Wheel Sisterhood (2023),4,1
18,Pseudoregalia (2023),3,1
19,Dordogne (2023),2,1
20,Terra Nil (2023),1,1
