SourceName,SourceURL,SourceId,GeneratedCsvPath
Thegamer,https://www.thegamer.com/best-indie-games-of-all-time/,193,thegamer - 2023-05-06_15-06-20.csv
IGN,https://www.ign.com/playlist/rchnemesis/lists/top-100-indie-games,94,ign - 2023-05-06_16-50-05.csv
Indiegamewebsite,https://www.indiegamewebsite.com/2019/12/24/the-100-best-indie-games-of-all-time/,194,indiegamewebsite - 2023-05-06_16-54-53.csv
Culturedvultures,https://culturedvultures.com/best-indie-games-all-time/,158,culturedvultures - 2023-05-06_17-01-30.csv
Professionalmoron,https://professionalmoron.com/2022/05/15/the-best-indie-games-of-all-time/,195,professionalmoron - 2023-05-06_17-07-38.csv
Gametaco,https://gametaco.net/best-indie-games/,196,gametaco - 2023-05-06_17-15-17.csv
Theglobalgaming,https://theglobalgaming.com/gaming/best-indie-games,285,theglobalgaming - 2023-08-11_02-08-30.csv
Thelostgamer,https://www.thelostgamer.com/best-indie-games/,286,thelostgamer - 2023-08-11_02-08-31.csv
Indiegamecloud,https://indiegamecloud.com/top100/,287,indiegamecloud - 2023-08-11_02-10-01.csv
Dualshockers,https://www.dualshockers.com/most-influential-indie-games/,180,dualshockers - 2023-08-11_02-11-31.csv
Twinfinite,https://twinfinite.net/gallery/top-25-best-indie-games-of-all-time-ranked-great-ground-breaking/,288,twinfinite - 2023-08-11_02-14-20.csv
Fungies,https://fungies.io/2023/04/24/best-indie-games-list-of-30-amazing-titles-ever-made/,289,fungies - 2023-08-11_02-26-32.csv
Cibersistemas,https://cibersistemas.pt/games/jogos-indie/,290,cibersistemas - 2023-08-11_02-32-12.csv
Canaltech,https://canaltech.com.br/games/melhores-jogos-indie-167222/,161,canaltech - 2023-08-11_02-36-40.csv
Topmovies,https://topmovies.com.br/jogos-indie-mais-populares/,296,topmovies - 2023-09-11_21-46-33.csv
Digio,https://www.digio.com.br/blog/games/confira-os-14-melhores-jogos-indie/,303,digio - 2023-11-11_01-45-25.csv
Artcetera,https://artcetera.art/games/melhores-jogos-indie-da-historia/,304,artcetera - 2023-11-11_01-45-26.csv
Liga dos Games,https://www.ligadosgames.com/melhores-jogos-indie/,144,liga dos games - 2023-11-11_01-45-27.csv
Newone,https://newone.games/10-top-indie-games/,305,newone - 2023-11-15_13-31-22.csv
