Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Inside,2016-06-29,7342,15,629,co2fca
2,Ori and the Will of the Wisps,2020-03-10,37001,14,369,co2e1l
3,Shovel Knight,2014-06-26,7444,13,528,co1p9i
4,Disco Elysium,2019-10-15,26472,12,185,co1sfj
5,Stardew Valley,2016-02-26,17000,11,386,xrpmydnu9rpxvxfjkiu7
6,Stray,2022-07-19,110248,10,272,co4tt2
7,Thumper,2016-10-10,10960,9,181,co1z4e
8,FAR: Lone Sails,2018-05-17,19520,8,660,co27qa
9,World of Goo,2008-10-13,942,7,664,co24jz
10,Spiritfarer,2020-08-18,119304,6,640,co2fe7
11,Gris,2018-12-13,22917,5,665,co1qv5
12,ElecHead,2021-10-14,129518,4,666,co4zcx
13,Broforce,2015-10-15,5973,3,667,co28vv
14,Boomerang X,2021-07-08,126851,2,668,co4a5g
15,RiME,2017-05-26,7621,1,669,co2h4w
