SourceName,SourceURL,SourceId,GeneratedCsvPath
Thegamer,https://www.thegamer.com/nintendo-switch-indie-games-ranked/,193,thegamer - 2023-09-19_13-12-37.csv
Gamerant,https://gamerant.com/nintendo-switch-best-indie-games/,218,gamerant - 2023-09-19_13-15-51.csv
Diamondlobby,https://diamondlobby.com/platform/nintendo-switch/best-indie-games-on-switch/,297,diamondlobby - 2023-09-19_13-18-32.csv
Whatoplay,https://whatoplay.com/switch/best/indie/,155,whatoplay - 2023-09-19_13-23-33.csv
GamesRadar+,https://www.gamesradar.com/best-switch-indie-games/,129,gamesradar+ - 2023-09-19_13-25-51.csv
Pocket-lint,https://www.pocket-lint.com/best-indie-games-nintendo-switch-independent/,151,pocket-lint - 2023-09-19_13-28-15.csv
Gamepro,https://www.gamepro.com.au/nintendo/best-nintendo-switch-indie-games/,284,gamepro - 2023-09-19_13-31-02.csv
Redbull,https://www.redbull.com/ie-en/best-indie-games-nintendo-switch,298,redbull - 2023-09-19_13-32-23.csv
Vgkami,https://vgkami.com/20-best-nintendo-switch-indie-games/,299,vgkami - 2023-09-19_13-35-09.csv
Wealthofgeeks,https://wealthofgeeks.com/the-25-best-indie-games-on-switch/,268,wealthofgeeks - 2023-09-19_13-37-09.csv
Gameranx,https://gameranx.com/features/id/347358/article/20-best-nintendo-switch-indie-games-to-play-in-2022/,274,gameranx - 2023-09-19_13-41-07.csv
