SourceName,SourceURL,SourceId,GeneratedCsvPath
GamesRadar+,https://www.gamesradar.com/best-mmorpg/,129,gamesradar+ - 2024-04-10_13-05-31.csv
Rockpapershotgun,https://www.rockpapershotgun.com/best-mmos-mmorpgs,276,rockpapershotgun - 2024-04-10_13-08-27.csv
Metacritic,https://www.metacritic.com/browse/game/all/mmorpg/,141,metacritic - 2024-04-10_13-12-48.csv
Thegamer,https://www.thegamer.com/best-mmorpgs-ever-wow-runescape/,193,thegamer - 2024-04-10_13-18-37.csv
IGN,https://www.ign.com/articles/top-10-mmorpgs,94,ign - 2024-04-10_13-21-13.csv
Insider-gaming,https://insider-gaming.com/5-best-mmorpgs-of-all-time/,384,insider-gaming - 2024-04-10_13-23-53.csv
Ranker,https://www.ranker.com/list/all-mmorpgs-list/reference,262,ranker - 2024-04-10_13-26-15.csv
One37pm,https://www.one37pm.com/gaming/best-mmorpg-games,172,one37pm - 2024-04-10_13-29-21.csv
Beebom,https://beebom.com/15-best-mmorpgs/,209,beebom - 2024-04-10_13-32-13.csv
Nerdmuch,https://www.nerdmuch.com/games/best-mmos/,390,nerdmuch - 2024-04-10_13-33-52.csv
