Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Call of Duty: Modern Warfare 2,2009-11-10,559,15,292,co3cwt
2,Doom Eternal,2020-03-19,103298,14,418,co3p5n
3,Diablo III,2012-05-15,120,13,966,co2l1u
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,Minecraft,2011-11-18,121,11,201,co49x5
6,The Witcher 3: Wild Hunt,2015-05-19,1942,10,347,co1wyy
7,Fallout 4,2015-11-09,9630,9,1241,co1yc6
8,Star Wars Jedi: Fallen Order,2019-11-15,74701,8,608,co1rbi
9,Fortnite,2017-07-25,1905,7,253,co2ekt
10,Dishonored 2,2016-11-11,11118,6,1230,co5pd0
11,Red Dead Redemption 2,2018-10-26,25076,5,352,co1q1f
