SourceName,SourceURL,SourceId,GeneratedCsvPath
IGN,https://www.ign.com/lists/top-100-rpgs/,94,ign - 2023-07-23_17-53-26.csv
Metacritic,https://www.metacritic.com/browse/games/genre/metascore/role-playing/all?view=detailed,141,metacritic - 2023-07-23_17-57-13.csv
Denofgeek,https://www.denofgeek.com/games/best-rpgs-ever-console-pc/,171,denofgeek - 2023-07-23_17-59-06.csv
Gg,https://gg.deals/blog/top-rpg-games-of-all-time-ranked/,252,gg - 2023-07-23_18-02-16.csv
Svg,https://www.svg.com/927424/the-50-best-rpgs-of-all-time-ranked/,174,svg - 2023-07-23_18-06-30.csv
Thegamer,https://www.thegamer.com/best-rpg-video-games/,193,thegamer - 2023-07-23_18-10-14.csv
History-computer,https://history-computer.com/the-7-absolute-best-rpgs-games-of-all-time/,253,history-computer - 2023-07-23_18-11-22.csv
Gameinformer,https://www.gameinformer.com/b/features/archive/2018/01/01/the-top-100-rpgs-of-all-time.aspx,254,gameinformer - 2023-07-23_18-13-23.csv
Ggrecon,https://www.ggrecon.com/guides/best-rpgs-role-playing-games/,210,ggrecon - 2023-07-23_18-16-30.csv
GamesRadar+,https://www.gamesradar.com/best-rpg-games/,129,gamesradar+ - 2023-07-23_18-19-09.csv
Vg247,https://www.vg247.com/the-top-25-rpgs-of-all-time-1-chrono-trigger,255,vg247 - 2023-07-23_18-21-33.csv
Thetoptens,https://www.thetoptens.com/games/best-rpg-video-game/,181,thetoptens - 2023-07-23_18-23-52.csv
Blog,https://blog.offgamers.com/blog/15-best-rpg-games-of-all-time/,256,blog - 2023-07-23_18-25-54.csv
