Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Witcher 3: Wild Hunt,2015-05-19,1942,15,347,co1wyy
2,Mass Effect 2,2010-01-26,74,14,334,co20ac
3,Fallout: New Vegas,2010-10-19,16,13,484,co1u60
4,The Legend of Zelda: Breath of the Wild,2017-03-03,7346,12,23,co3p2d
5,The Elder Scrolls V: Skyrim,2011-11-10,472,11,392,co1tnw
6,Star Wars: Knights of the Old Republic,2003-07-15,116,10,790,co1tmz
7,Elden Ring,2022-02-25,119133,9,10,co4jni
8,Assassin's Creed Odyssey,2018-10-05,103054,8,415,co2nul
9,Bloodborne,2015-03-24,7334,7,346,co1rba
10,Disco Elysium,2019-10-15,26472,6,185,co1sfj
11,Dragon Age: Inquisition,2014-11-18,1887,5,1263,co2mvy
12,Dragon Quest XI: Echoes of an Elusive Age,2017-07-29,11667,4,414,co1x9d
13,Stardew Valley,2016-02-26,17000,3,386,xrpmydnu9rpxvxfjkiu7
14,Diablo III,2012-05-15,120,2,966,co2l1u
15,Persona 5 Royal,2019-10-31,114283,1,108,co1nic
