Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,StarCraft,1998-03-31,230,15,516,co1x7n
2,Warcraft III: Reign of Chaos,2002-07-03,132,14,1103,co1xuq
3,Company of Heroes,2006-09-12,654,13,1130,co2ht7
4,Age of Empires III,2005-10-18,299,12,1770,co1xy6
5,Empire Earth,2001-11-12,302,11,1771,co22rm
6,Age of Empires II: The Age of Kings,1999-09-30,327,10,1079,co55xo
7,Supreme Commander,2007-02-16,276,9,1762,co2jpd
8,StarCraft II: Wings of Liberty,2010-07-27,239,8,1173,co1tnn
9,Stronghold Crusader,2002-07-31,964,7,1772,co2rgk
10,Rise of Nations,2003-05-20,848,6,1761,co2aya
11,Total Annihilation,1997-09-30,918,5,1387,co4l7r
12,The Lord of the Rings: The Battle for Middle-earth,2004-12-06,3154,4,1773,co20og
13,Command & Conquer: Red Alert 2,2000-10-25,245,3,1764,co2345
14,Command & Conquer 3: Tiberium Wars,2007-03-28,321,2,1775,co1qqd
15,Halo Wars,2009-02-26,988,1,1776,co1wc0
