Position,Title,TotalScore,ListsAppeared
1,Half-Life: Alyx (2020),114,9
2,Beat Saber (2019),87,8
3,The Elder Scrolls V: Skyrim (2011),70,7
4,No Man's Sky (2016),60,7
5,SuperHot VR (2016),54,4
6,Moss (2018),47,4
7,Minecraft (2011),37,3
8,Resident Evil 7: Biohazard (2017),36,4
9,Boneworks (2019),29,3
10,Marvel's Iron Man VR (2020),27,4
11,Pistol Whip (2019),27,4
12,Astro Bot: Rescue Mission (2018),23,2
13,Resident Evil 4 VR (2021),23,4
14,The Walking Dead: Saints & Sinners (2020),23,3
15,Keep Talking and Nobody Explodes (2015),22,3
16,Elite: Dangerous (2014),22,3
17,Vader Immortal: A Star Wars VR Series (2019),21,2
18,Subnautica (2018),18,2
19,Blade & Sorcery (2018),17,3
20,VRChat (2017),16,2
21,The Last Clockwinder (2022),15,1
22,Cities: VR (2022),15,1
23,Tetris Effect: Connected (2020),14,1
24,Into the Radius (2020),14,1
25,Hitman 3 (2021),14,1
26,Resident Evil Village (2021),14,1
27,Compound (2018),13,1
28,I Expect You to Die (2016),13,2
29,Jurassic World: Aftermath (2020),13,1
30,Sail (1970),12,1
31,Thumper (2016),12,2
32,Stride (2021),12,1
33,War Thunder (2013),12,2
34,Cards & Tankards (2021),11,1
35,Rec Room (2016),11,1
36,Demeo (2021),11,1
37,Project CARS 2 (2017),10,1
38,Arcaxer (2021),10,1
39,Lone Echo (2017),10,2
40,The Forest (2018),10,1
41,Phasmophobia (2020),10,1
42,Guardians Frontline (2023),9,1
43,Batman: Arkham VR (2016),9,1
44,Microsoft Flight Simulator (2020),9,1
45,Shores of Loci (2022),8,1
46,Rez Infinite (2016),8,1
47,Star Wars: Squadrons (2020),8,1
48,Tetris Effect (2018),8,1
49,Mothergunship: Forge (2022),7,1
50,Falcon Age (2019),7,1
51,Asgard's Wrath (2019),7,1
52,The Climb (2016),6,1
53,Rumble (2021),6,1
54,Until Dawn: Rush of Blood (2016),6,1
55,Defector (2019),6,1
56,Horizon Call of the Mountain (2023),6,1
57,Doom VFR (2017),6,1
58,Budget Cuts (2018),5,1
59,The Lab (2016),5,1
60,Tentacular (2022),5,1
61,Everybody's Golf (2017),3,1
62,Farpoint (2017),2,1
63,WipEout: Omega Collection (2017),2,1
64,A Township Tale (2021),1,1
65,Among Us VR (2022),1,1
66,Firewall Zero Hour (2018),1,1
