Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Death Stranding: Director's Cut,2021-09-24,152063,15,1040,co4rjc
2,What Remains of Edith Finch,2017-04-24,11233,14,397,co1rbj
3,Return to Grace,2023-03-30,249477,13,2161,co6hd3
4,Remains,2021-06-08,151910,12,2162,co38qo
5,Season: A Letter to the Future,2023-01-31,141541,11,2163,co56q9
6,The Gap,2023-10-19,151120,10,2164,co75iw
7,Paradise Marsh,2022-10-13,173042,9,2165,co5inm
8,Eastshade,2019-02-13,17480,8,2160,co4b9w
9,Frequency,2021-11-02,130241,7,2166,co2c1d
10,Tacoma,2017-08-02,8259,6,2159,co2tge
