Position,Title,TotalScore,ListsAppeared
1,Starfield (2023),118,9
2,Final Fantasy XVI (2023),107,8
3,The Legend of Zelda: Tears of the Kingdom (2023),106,8
4,Resident Evil 4 (2023),99,8
5,Marvel's Spider-Man 2 (2023),97,9
6,Diablo IV (2023),54,6
7,Hogwarts Legacy (2023),45,5
8,Wo Long: Fallen Dynasty (2023),44,6
9,Dead Space (2023),43,5
10,Street Fighter 6 (2023),42,4
11,Star Wars Jedi: Survivor (2023),36,3
12,Baldur's Gate 3 (2020),31,3
13,Armored Core VI: Fires of Rubicon (2023),29,3
14,S.T.A.L.K.E.R. 2: Heart of Chornobyl (2023),28,3
15,Mortal Kombat 1 (2023),21,2
16,Lies of P (2023),21,2
17,Alan Wake II (2023),20,4
18,Final Fantasy VII Rebirth (2023),18,2
19,Suicide Squad: Kill the Justice League (2024),18,2
20,Stellar Blade (2023),14,2
21,Payday 3 (2023),11,1
22,Hollow Knight: Silksong (2023),11,1
23,Tempest Rising (1970),10,1
24,Pikmin 4 (2023),9,1
25,Hades II (1970),9,2
26,Company of Heroes 3 (2023),9,1
27,The Wolf Among Us 2 (2024),9,1
28,Stormgate (2023),8,1
29,Pragmata (1970),8,1
30,Assassin's Creed Mirage (2023),7,1
31,The Last of Us Part I (2022),6,1
32,Metal Gear Solid Delta: Snake Eater (1970),5,1
33,Forspoken (2023),3,1
