Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Final Fantasy VII Rebirth,2023-12-31,133236,15,1001,co4vp0
2,Hades II,1970-01-01,228525,14,1008,co5va1
3,Tekken 8,1970-01-01,217590,13,1520,co6ab7
4,Star Wars Outlaws,2024-12-31,252827,12,2204,co77oz
5,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,11,2225,co7sly
6,Vampire: The Masquerade - Bloodlines 2,2024-12-31,116530,10,2226,co2hwd
7,Metaphor: ReFantazio,2024-12-31,26602,9,2202,co7hkn
8,World of Goo 2,2024-05-23,279620,8,2227,co7h9z
9,Final Fantasy XIV: Dawntrail,2024-07-02,259338,7,2228,co7lv8
10,Unicorn Overlord,2024-03-08,68353,6,2212,co7310
11,Like a Dragon: Infinite Wealth,2024-01-26,217623,5,2199,co73u4
12,Dragon's Dogma II,1970-01-01,115060,4,1524,co4vr8
13,Dragon Age: Dreadwolf,1970-01-01,30208,3,2229,co5rwk
14,Senua's Saga: Hellblade II,2024-12-31,127342,2,1522,co6m1n
15,Microsoft Flight Simulator 2024,2024-12-31,252830,1,2208,co6m0z
