SourceName,Count,Datasets
GamesRadar+,36,best_fighting_games_of_all_time;best_games_of_2013;best_games_of_2017;best_games_of_2018;best_games_of_2019;best_games_of_2020;best_games_of_2021;best_games_of_2023;best_games_of_all_time;best_games_of_the_atari;best_games_of_the_game_boy;best_games_of_the_game_boy_advance;best_games_of_the_gamecube;best_games_of_the_meta_quest_2;best_games_of_the_nintendo_3ds;best_games_of_the_nintendo_64;best_games_of_the_nintendo_ds;best_games_of_the_nintendo_switch;best_games_of_the_playstation_1;best_games_of_the_playstation_2;best_games_of_the_playstation_3;best_games_of_the_playstation_4;best_games_of_the_playstation_5;best_games_of_the_ps_vita;best_games_of_the_psp;best_games_of_the_wii;best_games_of_the_xbox_360;best_games_of_the_xbox_series_x_s;best_indie_games_of_the_nintendo_switch;best_mmorpg_games_of_all_time;best_narrative_games_of_all_time;best_open-world_games_of_all_time;best_rpg_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time;most_anticipated_games_of__2025
IGN,34,best_fighting_games_of_all_time;best_games_of_2002;best_games_of_2003;best_games_of_2004;best_games_of_2005;best_games_of_all_time;best_games_of_the_dreamcast;best_games_of_the_game_boy;best_games_of_the_game_boy_advance;best_games_of_the_gamecube;best_games_of_the_nes;best_games_of_the_nintendo_64;best_games_of_the_nintendo_ds;best_games_of_the_nintendo_switch;best_games_of_the_playstation_1;best_games_of_the_playstation_2;best_games_of_the_playstation_3;best_games_of_the_playstation_4;best_games_of_the_playstation_5;best_games_of_the_psp;best_games_of_the_psvr;best_games_of_the_snes;best_games_of_the_wii;best_games_of_the_xbox;best_games_of_the_xbox_360;best_games_of_the_xbox_one;best_games_of_the_xbox_series_x_s;best_indie_games_of_all_time;best_mmorpg_games_of_all_time;best_open-world_games_of_all_time;best_pc_games_of_all_time;best_rpg_games_of_all_time;best_steam_deck_games;most_anticipated_games_of_2023
CBR,14,best_games_of_2003;best_games_of_the_game_boy;best_games_of_the_game_boy_advance;best_games_of_the_gamecube;best_games_of_the_nintendo_ds;best_games_of_the_playstation_3;best_games_of_the_wii;best_grand_strategy_games_of_all_time;best_narrative_games_of_all_time;best_open-world_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time;most_anticipated_games_of_2023;most_anticipated_games_of_2024
Eurogamer,14,best_games_of_2004;best_games_of_2005;best_games_of_2006;best_games_of_2007;best_games_of_2008;best_games_of_2009;best_games_of_2010;best_games_of_2014;best_games_of_2016;best_games_of_2021;best_games_of_2022;best_games_of_2024;best_games_of_the_nintendo_ds;best_games_of_the_nintendo_switch
Retrododo,14,best_games_of_master_system;best_games_of_the_atari;best_games_of_the_dreamcast;best_games_of_the_game_boy;best_games_of_the_game_boy_advance;best_games_of_the_gamecube;best_games_of_the_mega_drive;best_games_of_the_nes;best_games_of_the_nintendo_ds;best_games_of_the_nintendo_switch;best_games_of_the_playstation_1;best_games_of_the_playstation_2;best_games_of_the_psp;best_games_of_the_wii
Metacritic,13,best_action_adventure_games_of_all_time;best_fighting_games_of_all_time;best_games_of_1996;best_games_of_2023;best_games_of_all_time;best_games_of_the_gamecube;best_games_of_the_nintendo_64;best_games_of_the_nintendo_switch;best_games_of_the_playstation_5;best_mmorpg_games_of_all_time;best_rpg_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time
Thegamer,13,best_games_of_2001;best_games_of_the_meta_quest_2;best_games_of_the_nintendo_switch;best_games_of_the_playstation_5;best_indie_games_of_all_time;best_indie_games_of_the_nintendo_switch;best_mmorpg_games_of_all_time;best_mobile_games_of_all_time;best_pc_games_of_all_time;best_rpg_games_of_all_time;best_rts_games_of_all_time;best_survival_horror_games_of_all_time;best_walking_simulator_games_of_all_time
Denofgeek,11,best_games_of_2021;best_games_of_2023;best_games_of_2024;best_games_of_the_mega_drive;best_games_of_the_nes;best_games_of_the_nintendo_ds;best_games_of_the_playstation_2;best_games_of_the_playstation_3;best_narrative_games_of_all_time;best_open-world_games_of_all_time;best_rpg_games_of_all_time
Gamerant,11,best_games_of_2000;best_games_of_2012;best_games_of_2016;best_games_of_2023;best_games_of_2024;best_games_of_master_system;best_grand_strategy_games_of_all_time;best_indie_games_of_the_nintendo_switch;best_open-world_games_of_all_time;best_survival_horror_games_of_all_time;best_walking_simulator_games_of_all_time
Gaming Gorilla,11,best_fighting_games_of_all_time;best_games_of_the_gamecube;best_games_of_the_nintendo_switch;best_games_of_the_playstation_1;best_games_of_the_playstation_2;best_games_of_the_playstation_3;best_games_of_the_playstation_4;best_games_of_the_psp;best_games_of_the_wii;best_games_of_the_xbox_360;best_games_of_the_xbox_series_x_s
