Position,Title,TotalScore,ListsAppeared
1,God of War (2005),35,4
2,Red Dead Redemption 2 (2018),32,3
3,Uncharted 4: A Thief's End (2016),29,3
4,The Witcher 3: Wild Hunt (2015),24,2
5,Tomb Raider (1996),22,2
6,Grand Theft Auto V (2013),19,2
7,Batman: Arkham Asylum (2009),18,2
8,Ghost of Tsushima (2020),16,2
9,Metal Gear Solid 2: Sons of Liberty (2001),15,1
10,The Legend of Zelda: Tears of the Kingdom (2023),15,1
11,The Legend of Zelda: Ocarina of Time (1998),15,1
12,Shadow of the Colossus (2005),14,4
13,Horizon Forbidden West (2022),14,1
14,Ninja Gaiden Black (2005),14,1
15,Uncharted 2: Among Thieves (2009),14,1
16,Mafia III (2016),13,1
17,Metal Gear Solid (1998),13,1
18,Resident Evil 4 (2005),12,1
19,Assassin's Creed Odyssey (2018),12,1
20,Tom Clancy's Splinter Cell: Chaos Theory (2005),12,1
21,Star Wars Jedi: Survivor (2023),12,1
22,The Last of Us (2013),12,1
23,God of War Ragnarök (2022),11,1
24,Control (2019),11,1
25,Red Dead Redemption (2010),11,1
26,Horizon Zero Dawn (2017),10,1
27,Metal Gear Solid 3: Subsistence (2005),10,1
28,Ratchet & Clank: Rift Apart (2021),10,1
29,Batman: Arkham City (2011),10,1
30,Metal Gear Solid 4: Guns of the Patriots (2008),9,1
31,Assassin's Creed II (2009),9,1
32,Metal Gear Solid V: The Phantom Pain (2015),8,1
33,Marvel's Spider-Man Remastered (2020),8,1
34,Tom Clancy's Splinter Cell: Pandora Tomorrow (2004),8,1
35,Marvel's Spider-Man 2 (2023),8,1
36,Fallout 4 (2015),7,1
37,Tom Clancy's Splinter Cell (2002),7,1
38,Borderlands 2 (2012),6,1
39,The Elder Scrolls V: Skyrim (2011),6,1
40,Ōkami (2006),6,1
41,BioShock (2007),6,1
42,Assassin's Creed IV Black Flag (2013),5,1
43,The Legend of Zelda: A Link to the Past (1991),5,1
44,Thief: The Dark Project (1998),4,1
45,Raid: Shadow Legends (2018),4,1
46,Uncharted 3: Drake's Deception (2011),4,1
47,Rise of the Tomb Raider (2015),3,1
48,Metal Gear Solid 3: Snake Eater (2004),3,1
49,God of War III (2010),3,1
50,Ninja Gaiden (2004),2,1
51,God of War II (2007),2,1
52,Cyberpunk 2077 (2020),1,1
