Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,15,309,co5e1c
2,Ninja Gaiden Black,2005-09-20,18735,14,2191,co41ls
3,Metal Gear Solid,1998-09-03,375,13,237,co55sj
4,Tom Clancy's Splinter Cell: Chaos Theory,2005-03-28,911,12,477,co2ysx
5,God of War Ragnarök,2022-11-09,112875,11,143,co5s5v
6,Metal Gear Solid 3: Subsistence,2005-12-22,479,10,731,co1vd6
7,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,380,9,335,co5eju
8,Tom Clancy's Splinter Cell: Pandora Tomorrow,2004-03-23,874,8,2193,co1yi1
9,Tom Clancy's Splinter Cell,2002-11-12,910,7,1092,co2ysy
10,Ōkami,2006-04-20,1271,6,313,co3mpk
11,Batman: Arkham Asylum,2009-08-25,500,5,1156,co1voj
12,Thief: The Dark Project,1998-11-30,2,4,16,co22ne
13,Metal Gear Solid 3: Snake Eater,2004-11-17,379,3,305,co5ei5
14,Ninja Gaiden,2004-03-02,5972,2,791,co30ac
15,Shadow of the Colossus,2005-10-18,2207,1,306,co1ozz
