Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Chrono Trigger,1995-03-11,1802,15,519,co3plw
2,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-21,1092,14,684,co217m
3,Panzer Dragoon,1995-03-10,1667,13,1195,co2icg
4,Super Mario World 2: Yoshi's Island,1995-08-05,1073,12,568,co2kn9
5,Far East of Eden: Kabuki Klash,1995-07-28,39554,11,1991,co5xip
6,Marvel Super Heroes,1995-10-24,27890,10,1992,co2s53
7,Shinobi Legions,1995-06-30,10221,9,1993,co30ik
8,Metamoqester,1995-02-01,39542,8,1994,s2zrrdnsmvuhtspjhvid
9,Trials of Mana,1995-09-30,11227,7,1995,co71wc
10,Lufia II: Rise of the Sinistrals,1995-02-24,1178,6,1996,co26fl
