Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Chrono Trigger,1995-03-11,1802,15,519,co3plw
2,Super Mario World 2: Yoshi's Island,1995-08-05,1073,14,568,co2kn9
3,Donkey Kong Country 2: Diddy's Kong Quest,1995-11-21,1092,13,684,co217m
4,Sega Rally Championship,1994-10-11,1571,12,1267,co2f9a
5,Destruction Derby,1995-10-20,1168,11,1268,co2zhg
6,Panzer Dragoon,1995-03-10,1667,10,1195,co2icg
7,Vectorman,1995-10-24,16033,9,1269,co3s8c
8,Ristar,1995-02-16,7431,8,1196,co1zr0
9,Warhawk,1995-11-10,79687,7,1270,a7tqgwvytxsvp1qdrn7c
10,EarthBound,1994-08-27,2899,6,573,co3shr
