Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil,1996-03-22,424,15,341,co20bp
2,Diablo,1996-12-31,125,14,1200,co3ggo
3,Twisted Metal 2,1996-10-31,4696,13,1204,co2kyg
4,Duke Nukem 3D,1996-01-29,342,12,1205,co1y7x
5,Super Mario 64,1996-06-23,1074,11,30,co21mm
6,Harvester,1996-09-05,2900,10,1206,co3cug
7,Crash Bandicoot,1996-09-09,1185,9,24,co555l
8,Tomb Raider,1996-10-25,912,8,265,co3hfx
9,Lunacy,1996-06-28,71493,7,1207,co2s0r
10,The Elder Scrolls II: Daggerfall,1996-08-31,53,6,1208,co1yan
11,The Vampire Diaries,1996-11-01,93100,5,1209,co2osf
12,Ripper,1996-02-29,6829,4,1210,co2y55
13,Steven Spielberg's Director's Chair,1996-12-31,69814,3,1211,nh58l8tafknbsaquymll
14,Muppet Treasure Island,1996-12-31,71543,2,1212,asiip57a0ihtzcjhbzvf
15,Command & Conquer: Red Alert,1996-11-22,295,1,1213,co1nx0
