Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Resident Evil,1996-03-22,424,15,341,co20bp
2,Pokémon Red,1996-02-27,1561,14,513,co5pi4
3,Super Mario 64,1996-06-23,1074,13,30,co21mm
4,Tomb Raider,1996-10-25,912,12,265,co3hfx
5,Diablo,1996-12-31,125,11,1200,co3ggo
6,Crash Bandicoot,1996-09-09,1185,10,24,co555l
7,Super Mario RPG: Legend of the Seven Stars,1996-03-09,5418,9,570,co5r6p
8,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996-11-18,1094,8,1201,co217n
9,Metal Slug,1996-01-24,1404,7,1202,co20gf
10,Nights Into Dreams...,1996-07-05,5075,6,1203,co2n17
