Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Marvel Super Heroes vs. Street Fighter,1997-06-25,8245,15,1392,co1yd6
2,GoldenEye 007,1997-08-23,1638,14,219,co62k0
3,Broken Sword: The Smoking Mirror,1997-10-17,1150,13,1393,co4wsk
4,Final Fantasy VII,1997-01-31,427,12,247,co2kx2
5,Star Wars: Jedi Knight - Dark Forces II,1997-09-30,150,11,1390,co25xt
6,Star Fox 64,1997-04-27,2591,10,170,co2e4k
7,Duke Nukem 3D,1996-01-29,342,9,1205,co1y7x
8,Sonic the Hedgehog 3,1994-02-02,6797,8,858,co1zut
9,BS Zelda no Densetsu: Inishie no Sekiban,1997-03-30,42308,7,1394,co2v04
10,Azure Dreams,1997-11-13,6545,6,1395,co3bsc
11,Grand Theft Auto,1997-10-21,980,5,1396,co2lb0
12,Armored Core,1997-07-10,4144,4,1397,co2hhy
13,Breath of Fire III,1997-09-11,18055,3,1398,co4xsm
14,Carmageddon,1997-06-30,626,2,1399,co2n5v
15,Sonic R,1997-11-18,202757,1,1400,co4sfd
