Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Halo: Combat Evolved,2001-11-15,740,15,153,co2r2r
2,Grand Theft Auto III,2001-10-22,730,14,433,co2lb8
3,Metal Gear Solid 2: Sons of Liberty,2001-11-13,376,13,309,co5e1c
4,Gran Turismo 3: A-Spec,2001-04-28,1600,12,465,co5xru
5,Jak and Daxter: The Precursor Legacy,2001-12-03,1528,11,455,co1w7q
6,Tony Hawk's Pro Skater 2,2000-09-20,913,10,249,co1y77
7,Final Fantasy X,2001-07-19,418,9,312,co1tr1
8,Super Smash Bros. Melee,2001-11-21,1627,8,533,co21yv
9,Star Wars: Rogue Squadron II - Rogue Leader,2001-11-09,4181,7,542,co1w3u
10,Silent Hill 2,2001-09-24,481,6,311,co2vyg
11,Sonic Adventure 2,2001-06-23,7858,5,891,co1te4
12,The Legend of Zelda: Oracle of Ages,2001-02-27,1041,4,1430,co2tw1
13,Max Payne,2001-07-23,18,3,1091,co3wb2
14,SSX Tricky,2001-11-05,4176,2,457,co2sup
15,Ico,2001-09-24,7170,1,443,co3r78
