Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Half-Life 2,2004-11-16,233,15,160,co1nmw
2,World of Warcraft,2004-11-23,123,14,514,co2l7z
3,Metal Gear Solid 3: Snake Eater,2004-11-17,379,13,305,co5ei5
4,Ninja Gaiden,2004-03-02,5972,12,791,co30ac
5,Halo 2,2004-11-09,986,11,375,co1x77
6,Grand Theft Auto: San Andreas,2004-10-26,732,10,304,co2lb9
7,Rome: Total War,2004-09-22,438,9,1110,co1zt9
8,Metroid Prime 2: Echoes,2004-11-15,1108,8,1108,co1w7n
9,Burnout 3: Takedown,2004-09-07,5761,7,448,co1y53
10,ESPN NFL 2K5,2004-07-20,7881,6,446,co2xij
