Position,Title,TotalScore,ListsAppeared
1,Grand Theft Auto IV (2008),29,2
2,Gears of War 2 (2008),27,2
3,Fallout 3 (2008),26,2
4,LittleBigPlanet (2008),24,2
5,Fable II (2008),22,2
6,Metal Gear Solid 4: Guns of the Patriots (2008),19,2
7,Braid (2008),14,2
8,Far Cry 2 (2008),10,1
9,Call of Duty: World at War (2008),9,1
10,Left 4 Dead (2008),9,1
11,Guitar Hero World Tour (2008),8,1
12,Burnout Paradise (2008),7,1
13,Dead Space (2008),6,1
14,FIFA Soccer 09 (2008),5,1
15,Portal (2007),4,1
16,Rock Band 2 (2008),3,1
17,Professor Layton and the Curious Village (2007),2,1
18,Mario Kart Wii (2008),1,1
