Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Last of Us,2013-06-14,1009,15,320,co1r7f
2,Papers, Please,2013-08-08,2935,14,645,co1vep
3,The Stanley Parable,2013-10-17,3035,13,643,co1rc9
4,Grand Theft Auto V,2013-09-17,1020,12,323,co2lbd
5,BioShock Infinite,2013-02-26,538,11,333,co2n12
6,Fire Emblem: Awakening,2012-04-19,1443,10,1060,co668y
7,Assassin's Creed IV Black Flag,2013-10-29,1970,9,1401,co4qfn
8,Metro: Last Light,2013-05-14,539,8,1403,co2h9d
9,Metal Gear Rising: Revengeance,2013-02-19,378,7,1402,co2l1t
10,Far Cry 3: Blood Dragon,2013-05-01,2001,6,1404,co1vpp
11,Call of Juarez: Gunslinger,2013-05-21,1976,5,1405,co1qqf
12,Pokémon X,2013-10-12,2286,4,1013,co1z8y
13,Tomb Raider,2013-03-04,1164,3,1406,co1rbu
14,Saints Row IV,2013-08-19,1981,2,1061,co1nrn
15,Rogue Legacy,2013-06-27,3221,1,621,co27fi
