Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Rise of the Tomb Raider,2015-11-10,7323,15,416,co1rqa
2,The Witcher 3: Wild Hunt,2015-05-19,1942,14,347,co1wyy
3,Fallout 4,2015-11-09,9630,13,1241,co1yc6
4,Metal Gear Solid V: The Phantom Pain,2015-09-01,1985,12,331,co1v85
5,Ori and the Blind Forest,2015-03-11,7344,11,657,co1y41
6,Rocket League,2015-07-06,11198,10,1037,co5w0w
7,Tales from the Borderlands,2014-11-25,6707,9,1242,co20tr
8,Batman: Arkham Knight,2015-06-23,5503,8,1246,co1nh1
9,Undertale,2015-09-15,12517,7,413,co2855
10,Halo 5: Guardians,2015-10-27,6803,6,1247,co1xhg
11,Until Dawn,2015-08-25,7609,5,1244,co2s5q
12,Assassin's Creed Syndicate,2015-10-23,8263,4,1248,co1xis
13,Her Story,2015-06-24,11346,3,1249,co2gzl
14,Splatoon,2015-05-28,7335,2,579,co2hwo
15,Game of Thrones: A Telltale Games Series,2014-12-02,7610,1,1250,co1nrt
