Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Overwatch,2016-05-24,8173,15,404,co1rcb
2,Uncharted 4: A Thief's End,2016-05-10,7331,14,355,co1r7h
3,Titanfall 2,2016-10-28,17447,13,1228,fhbeilnghyhhmjqhinqa
4,Doom,2016-05-12,7351,12,1227,co1nc7
5,Dark Souls III,2016-03-24,11133,11,529,co1vcf
6,Pokémon Sun,2016-11-18,18100,10,1239,co3co7
7,Final Fantasy XV,2016-11-29,359,9,607,co1tr2
8,Firewatch,2016-02-09,9730,8,648,co1m35
9,Battlefield 1,2016-10-21,18320,7,871,co2n9d
10,Gears of War 4,2016-10-11,11186,6,1240,co2y29
