Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,God of War,2018-04-20,19560,15,345,co1tmu
2,Return of the Obra Dinn,2018-10-18,9643,14,189,co27j9
3,Florence,2018-02-13,87672,13,1214,co295l
4,Tetris Effect,2018-11-09,103221,12,83,co2kfy
5,Celeste,2018-01-25,26226,11,144,co3byy
6,Red Dead Redemption 2,2018-10-26,25076,10,352,co1q1f
7,Into the Breach,2018-02-27,27117,9,622,co2gjp
8,Monster Hunter: World,2018-01-26,36926,8,1215,co1rst
9,Marvel's Spider-Man,2018-09-07,19565,7,349,co1r77
10,Assassin's Creed Odyssey,2018-10-05,103054,6,415,co2nul
11,Hollow Knight,2017-02-24,14593,5,145,co1rgi
12,Super Smash Bros. Ultimate,2018-12-07,90101,4,91,co2255
13,Fortnite,2017-07-25,1905,3,253,co2ekt
14,BattleTech,2018-04-24,18279,2,1216,co28va
15,Minit,2018-04-03,26970,1,1217,co1vcj
