Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Returnal,2021-04-30,134584,15,164,co3wc1
2,Psychonauts 2,2021-08-24,14741,14,362,co1sod
3,Inscryption,2021-10-19,139090,13,1041,co401c
4,Deathloop,2021-09-14,113598,12,161,co4nzt
5,Metroid Dread,2021-10-07,15698,11,93,co39zx
6,Chicory: A Colorful Tale,2021-06-10,117266,10,1042,co4s6f
7,Marvel's Guardians of the Galaxy,2021-10-26,152249,9,364,co39pu
8,Unpacking,2021-11-02,115843,8,1043,co1t45
9,Halo Infinite,2021-11-15,103281,7,361,co2dto
10,Unsighted,2021-09-30,111815,6,1044,co3bt4
11,Wildermyth,2019-11-13,83504,5,1045,co26ab
12,It Takes Two,2021-03-25,135243,4,363,co2t97
13,Forza Horizon 5,2021-11-09,141503,3,360,co3ofx
14,Death's Door,2021-07-20,145099,2,598,co45xc
15,Loop Hero,2021-03-04,141533,1,1046,co2mfy
