Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Deathloop,2021-09-14,113598,15,161,co4nzt
2,Forza Horizon 5,2021-11-09,141503,14,360,co3ofx
3,Returnal,2021-04-30,134584,13,164,co3wc1
4,Metroid Dread,2021-10-07,15698,12,93,co39zx
5,Mass Effect Legendary Edition,2021-05-14,140839,11,367,co2k5h
6,Resident Evil Village,2021-05-06,55163,10,127,co2zpu
7,Ratchet & Clank: Rift Apart,2021-06-11,134582,9,162,co2str
8,Hitman 3,2021-01-20,134595,8,135,co29lt
9,Psychonauts 2,2021-08-24,14741,7,362,co1sod
10,It Takes Two,2021-03-25,135243,6,363,co2t97
