Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Deathloop,2021-09-14,113598,15,161,co4nzt
2,Ratchet & Clank: Rift Apart,2021-06-11,134582,14,162,co2str
3,Psychonauts 2,2021-08-24,14741,13,362,co1sod
4,Hitman 3,2021-01-20,134595,12,135,co29lt
5,Halo Infinite,2021-11-15,103281,11,361,co2dto
6,Chicory: A Colorful Tale,2021-06-10,117266,10,1042,co4s6f
7,Resident Evil Village,2021-05-06,55163,9,127,co2zpu
8,It Takes Two,2021-03-25,135243,8,363,co2t97
9,Valheim,2021-02-02,104967,7,742,co2x61
10,Marvel's Guardians of the Galaxy,2021-10-26,152249,6,364,co39pu
11,Life is Strange: True Colors,2021-09-10,144765,5,1047,co2vpp
12,Kena: Bridge of Spirits,2021-09-20,134588,4,735,co5vx4
13,Returnal,2021-04-30,134584,3,164,co3wc1
14,Metroid Dread,2021-10-07,15698,2,93,co39zx
15,Forza Horizon 5,2021-11-09,141503,1,360,co3ofx
