Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Dread,2021-10-07,15698,15,93,co39zx
2,Resident Evil Village,2021-05-06,55163,14,127,co2zpu
3,Forza Horizon 5,2021-11-09,141503,13,360,co3ofx
4,Deathloop,2021-09-14,113598,12,161,co4nzt
5,Ratchet & Clank: Rift Apart,2021-06-11,134582,11,162,co2str
6,Psychonauts 2,2021-08-24,14741,10,362,co1sod
7,Unpacking,2021-11-02,115843,9,1043,co1t45
8,Tales of Arise,2021-09-10,119270,8,615,co5ls2
9,Hitman 3,2021-01-20,134595,7,135,co29lt
10,Life is Strange: True Colors,2021-09-10,144765,6,1047,co2vpp
11,It Takes Two,2021-03-25,135243,5,363,co2t97
12,Monster Hunter Rise,2021-03-26,138950,4,591,co3uzk
13,Death's Door,2021-07-20,145099,3,598,co45xc
14,Returnal,2021-04-30,134584,2,164,co3wc1
15,Super Mario 3D World,2013-11-21,2180,1,585,co21vd
