Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Returnal,2021-04-30,134584,15,164,co3wc1
2,Psychonauts 2,2021-08-24,14741,14,362,co1sod
3,Ratchet & Clank: Rift Apart,2021-06-11,134582,13,162,co2str
4,Deathloop,2021-09-14,113598,12,161,co4nzt
5,Hitman 3,2021-01-20,134595,11,135,co29lt
6,Forza Horizon 5,2021-11-09,141503,10,360,co3ofx
7,Unpacking,2021-11-02,115843,9,1043,co1t45
8,Overboard!,2021-06-02,151067,8,1716,co31ra
9,It Takes Two,2021-03-25,135243,7,363,co2t97
10,Halo Infinite,2021-11-15,103281,6,361,co2dto
11,Resident Evil Village,2021-05-06,55163,5,127,co2zpu
12,The Artful Escape,2021-09-09,25935,4,1718,co2e3n
13,Super Mario 3D World,2013-11-21,2180,3,585,co21vd
14,Monster Hunter Rise,2021-03-26,138950,2,591,co3uzk
15,Wildermyth,2019-11-13,83504,1,1045,co26ab
