SourceName,SourceURL,SourceId,GeneratedCsvPath
Polygon,https://www.polygon.com/what-to-play/22956981/best-games-2022-list,133,polygon - 2023-04-01_20-58-43.csv
The Guardian,https://www.theguardian.com/culture/2022/dec/21/the-20-best-video-games-of-2022,145,the guardian - 2023-04-01_23-41-43.csv
Eurogamer,https://www.eurogamer.net/the-best-games-of-2022,146,eurogamer - 2023-04-01_23-45-30.csv
Kotaku,https://kotaku.com/goty-best-games-2022-elden-ring-god-war-ragnarok-marvel-1849934499,147,kotaku - 2023-04-01_23-47-58.csv
Areajugones,https://areajugones.sport.es/videojuegos/god-of-war-ragnarok-se-lleva-el-goty-2022-en-los-premios-titanium-de-la-big-conference/,148,areajugones - 2023-04-02_00-26-50.csv
Entertainment,https://entertainment.ie/gaming/best-games-of-2022-547491/,149,entertainment - 2023-04-02_00-46-11.csv
Xataka,https://www.xataka.com/seleccion/ganadores-premios-xataka-orange-2022-oferta-black-friday,150,xataka - 2023-04-02_00-46-48.csv
Pocket-lint,https://www.pocket-lint.com/gadgets/news/144227-pocket-lint-gadget-awards-date-details-tickets-voting/,151,pocket-lint - 2023-04-02_00-47-17.csv
Digitaltrends,https://www.digitaltrends.com/gaming/best-video-games-2022-top-10/,152,digitaltrends - 2023-04-02_00-48-40.csv
Slantmagazine,https://www.slantmagazine.com/features/the-25-best-video-games-of-2022/,153,slantmagazine - 2023-04-02_00-50-08.csv
Nme,https://www.nme.com/features/gaming-features/the-20-best-games-of-2022-3360445,154,nme - 2023-04-02_00-54-41.csv
