Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Baldur's Gate 3,2020-10-06,119171,15,989,co670h
2,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,14,21,co5vmg
3,Alan Wake II,2023-10-17,185246,13,998,co6jar
4,The Talos Principle II,2023-11-02,79864,12,2114,co6jbl
5,Resident Evil 4,2023-03-24,132181,11,212,co4tg4
6,The Cosmic Wheel Sisterhood,2023-08-16,247578,10,2047,co6llx
7,Hi-Fi Rush,2023-01-25,233585,9,722,co6219
8,Remnant II,2023-07-25,228535,8,2115,co6lnp
9,Theatrhythm Final Bar Line,2023-02-16,217556,7,689,co59tj
10,Dredge,2023-03-30,164867,6,706,co69zw
11,Sea of Stars,2023-08-28,131890,5,1908,co215b
12,Paranormasight: The Seven Mysteries of Honjo,2023-03-08,236694,4,2026,co64ro
13,Venba,2023-07-31,141704,3,2045,co6vn4
14,Lies of P,2023-08-01,148241,2,990,co30p9
15,Robocop: Rogue City,2023-11-02,154775,1,2116,co4ykm
