Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Armored Core VI: Fires of Rubicon,2023-08-25,228542,14,999,co6ffo
3,Baldur's Gate 3,2020-10-06,119171,13,989,co670h
4,Dead Space,2023-01-27,159119,12,88,co5esn
5,Street Fighter 6,2023-06-02,191692,11,844,co5vst
6,Hi-Fi Rush,2023-01-25,233585,10,722,co6219
7,He Fucked the Girl Out of Me,2022-05-21,206498,9,2025,co6t04
8,Final Fantasy XVI,2023-06-22,31551,8,987,co5w3k
9,Cyberpunk 2077: Phantom Liberty,2023-09-26,215769,7,2003,co7566
10,Star Wars Jedi: Survivor,2023-04-28,201156,6,721,co5uzk
11,Resident Evil 4,2023-03-24,132181,5,212,co4tg4
12,Mortal Kombat 1,2023-09-19,239392,4,992,co6i4r
13,Paranormasight: The Seven Mysteries of Honjo,2023-03-08,236694,3,2026,co64ro
14,Pikmin 4,2023-07-21,59843,2,1445,co657e
15,Bayonetta Origins: Cereza and the Lost Demon,2023-03-17,228528,1,2027,co5vch
