Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,15,21,co5vmg
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,Alan Wake II,2023-10-17,185246,13,998,co6jar
4,Final Fantasy XVI,2023-06-22,31551,12,987,co5w3k
5,Super Mario Bros. Wonder,2023-10-20,254339,11,1438,co6nnl
6,Street Fighter 6,2023-06-02,191692,10,844,co5vst
7,Marvel's Spider-Man 2,2023-12-31,127044,9,991,co5vrx
8,Sea of Stars,2023-08-28,131890,8,1908,co215b
9,Resident Evil 4,2023-03-24,132181,7,212,co4tg4
10,Diablo IV,2023-06-02,125165,6,986,co69sm
11,Mortal Kombat 1,2023-09-19,239392,5,992,co6i4r
12,Venba,2023-07-31,141704,4,2045,co6vn4
13,Armored Core VI: Fires of Rubicon,2023-08-25,228542,3,999,co6ffo
14,Lies of P,2023-08-01,148241,2,990,co30p9
15,Star Wars Jedi: Survivor,2023-04-28,201156,1,721,co5uzk
