Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Alan Wake II,2023-10-17,185246,15,998,co6jar
2,Baldur's Gate 3,2020-10-06,119171,14,989,co670h
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Super Mario Bros. Wonder,2023-10-20,254339,12,1438,co6nnl
5,Cocoon,2023-09-29,204627,11,2004,co4v2z
6,Humanity,2023-05-15,122565,10,2030,co66z7
7,A Space for the Unbound,2023-01-19,110039,9,2041,co62kn
8,Armored Core VI: Fires of Rubicon,2023-08-25,228542,8,999,co6ffo
9,Marvel's Spider-Man 2,2023-12-31,127044,7,991,co5vrx
10,Hi-Fi Rush,2023-01-25,233585,6,722,co6219
11,Jusant,2023-10-31,252836,5,2029,co6lz0
12,Octopath Traveler II,2023-02-24,217554,4,701,co684z
13,Street Fighter 6,2023-06-02,191692,3,844,co5vst
14,El Paso, Elsewhere,2023-09-26,151788,2,2040,co321v
15,Resident Evil 4,2023-03-24,132181,1,212,co4tg4
