Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Baldur's Gate 3,2020-10-06,119171,15,989,co670h
2,Street Fighter 6,2023-06-02,191692,14,844,co5vst
3,Alan Wake II,2023-10-17,185246,13,998,co6jar
4,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,12,21,co5vmg
5,System Shock,2023-05-30,18375,11,2031,co1ik8
6,Pizza Tower,2023-01-26,135818,10,738,co5uu1
7,Pikmin 4,2023-07-21,59843,9,1445,co657e
8,Resident Evil 4,2023-03-24,132181,8,212,co4tg4
9,Lies of P,2023-08-01,148241,7,990,co30p9
10,Marvel's Spider-Man 2,2023-12-31,127044,6,991,co5vrx
