Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Baldur's Gate 3,2020-10-06,119171,15,989,co670h
2,Alan Wake II,2023-10-17,185246,14,998,co6jar
3,The Legend of Zelda: Tears of the Kingdom,2023-05-12,119388,13,21,co5vmg
4,Resident Evil 4,2023-03-24,132181,12,212,co4tg4
5,Star Wars Jedi: Survivor,2023-04-28,201156,11,721,co5uzk
6,Street Fighter 6,2023-06-02,191692,10,844,co5vst
7,Starfield,2023-09-06,96437,9,985,co39vv
8,Final Fantasy XVI,2023-06-22,31551,8,987,co5w3k
9,Dredge,2023-03-30,164867,7,706,co69zw
10,Marvel's Spider-Man 2,2023-12-31,127044,6,991,co5vrx
11,Armored Core VI: Fires of Rubicon,2023-08-25,228542,5,999,co6ffo
12,Super Mario Bros. Wonder,2023-10-20,254339,4,1438,co6nnl
13,Gravity Circuit,2023-07-13,106534,3,2065,co54xb
14,Pikmin 4,2023-07-21,59843,2,1445,co657e
15,Hi-Fi Rush,2023-01-25,233585,1,722,co6219
