Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Astro Bot,2024-09-06,303811,15,2352,co8hl0
2,Metaphor: ReFantazio,2024-12-31,26602,14,2202,co7hkn
3,Elden Ring: Shadow of the Erdtree,2024-06-21,240009,13,2225,co7sly
4,Final Fantasy VII Rebirth,2023-12-31,133236,12,1001,co4vp0
5,Silent Hill 2,1970-01-01,222341,11,1441,co5l7s
6,Indiana Jones and the Great Circle,2024-12-31,142415,10,2198,co7nbc
7,Dragon Age: The Veilguard,1970-01-01,30208,9,2229,co5rwk
8,Thank Goodness You’re Here!,2024-08-01,262538,8,2850,co6yyq
9,Helldivers 2,2024-02-08,250616,7,2196,co741o
10,Dragon's Dogma II,1970-01-01,115060,6,1524,co4vr8
11,Like a Dragon: Infinite Wealth Special Trial Version,2023-11-09,319033,5,2929,co8wol
12,Tekken 8,1970-01-01,217590,4,1520,co6ab7
13,Balatro,2024-02-20,251833,3,2140,co752b
14,Black Myth: Wukong,2024-08-20,136879,2,2222,co7pnk
15,Unicorn Overlord,2024-03-08,68353,1,2212,co7310
